address,llama_id,token0,token1,fee_tier,tvl_usd,volume_usd,etherscan_verified
0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,665dc8bc-c79d-4800-97f7-304bf368e547,USDC,WETH,500,95094285.0,203972759.70178,True
0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36,fc9f488e-8183-416f-a61e-4e5c571d4395,WETH,USDT,3000,63896883.0,15526418.93644,True
0x4585FE77225b41b697C938B018E2Ac67Ac5a20c0,d59a5728-d391-4989-86f6-a94e11e0eb3b,WBTC,WETH,500,45551841.0,35902434.83911,True
0xCBCdF9626bC03E24f779434178A73a0B4bad62eD,c5599b3a-ea73-4017-a867-72eb971301d1,WBTC,WETH,3000,44526108.0,3534874.60419,True
0xe8f7c89C5eFa061e340f2d2F206EC78FD8f7e124,c0bbcf6c-9454-4773-a19f-c6486484c287,WBTC,CBBTC,100,29428811.0,7031024.45042,True
0x99ac8cA7087fA4A2A1FB6357269965A2014ABc35,bbecbf69-a4f7-43e3-8b72-de180d106e2c,WBTC,USDC,3000,27036724.0,3636413.38831,True
0x3416cF6C708Da44DB2624D63ea0AAef7113527C6,e737d721-f45c-40f0-9793-9f56261862b9,USDC,USDT,100,26343255.0,11121754.02188,True
0x9Db9e0e53058C89e5B94e29621a205198648425B,2608e751-41d4-47db-9b9c-4bf3a757fc1b,WBTC,USDT,3000,26288934.0,2343867.72487,True
0xbAFeAd7c60Ea473758ED6c6021505E8BBd7e8E5d,458a64c5-2f64-4ca6-8be7-41b8aef029eb,AUSD,USDC,100,25010945.0,3197547.09154,True
0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,49717ee2-9808-4288-b76d-e658195b7979,USDC,WETH,3000,22298240.0,3223206.99393,True
0xa6Cc3C2531FdaA6Ae1A3CA84c2855806728693e8,3025b6b3-e95f-490e-ba10-540c9b1b08f9,LINK,WETH,3000,22140600.0,987045.73783,True
0x4a25dBDF9629B1782C3e2C7DE3BdCe41f1c7f801,eb21dc22-0b56-4dad-90df-331373f26d34,USDM,USDT,500,19825137.0,20003.06342,True
0x970A7749EcAA4394C8B2Bf5F2471F41FD6b79288,2f340114-f11e-460b-bfc9-79fd70546a55,WM,USDC,100,18836871.0,45019.91896,True
0x56534741CD8B152df6d48AdF7ac51f75169A83b2,3dd2c646-c05a-4483-98f4-d7a924a6d6d3,WBTC,USDT,500,16818469.0,25765105.84109,True
0x73A38006d23517a1d383C88929B2014F8835B38B,b4ef32d6-04da-400c-bd82-8342a5b094a6,TBTC,WBTC,100,16758316.0,1910457.01468,True
0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,a9ee1b5f-558b-4e1d-a467-16345e64bc25,UNI,WETH,3000,15046722.0,330418.42958,True
0x7A415B19932c0105c82FDB6b720bb01B0CC2CAe3,84fb00e5-3c59-4878-8ebe-4fd601a861bd,WETH,WEETH,500,14459499.0,1955.1112,True
0xC275a7390966E4bcbf331B837cD7316C4A3EFa83,be43dcf6-39dd-43b1-85e8-20844c1b0e58,USDT,USDF,100,11593315.0,380908.84115,False
0x5738df8073Ad05d0c0fCF60e358033268eBF16cC,40769df5-74ce-4d6c-886f-ac4d5f771227,WBTC,SOLVBTC,500,9476229.0,139738.74845,True
0x0858e2B0F9D75f7300B38D64482aC2C8DF06a755,0cc155d9-0e7f-4bdd-b07e-0a09e34b9af0,OHM,SUSDS,3000,8991469.0,0.0,True
